Nombre,Este,Norte
1024,589475,7391600
1028,584433,7383998
2018,578015,7391893
2037,583465,7391949
GD-03,586688,7382385
GD-04,586143,7383854
L10-1,591440,7380661
L10-2,589534,7382683
L10-3,585556,7381276
L10-4,584908,7381408
L10-5,585258,7382631
L10-6,586580,7382952
L10-7,587591,7382733
L10-8,587479,7383323
L10-9,588860,7383281
L10-10,588561,7382730
L10-11,585193,7386713
L10-12,584400,7388773
L10-13,584610,7382759
L10-14,582763,7382945
L10-15,589153,7383840
L10-16,590452,7386333
L10-17,591617,7388611
REGLILLA INTERNA CONAF,586615,7382021
REGLILLA SALADA CONAF,587624,7380707
REGLILLA SALADITA CONAF,587023,7381471
PN-08A,582633.09,7382423.88
ES-11,587314.52,7388647.89
PN-03,579257.65,7386428.44
PN-04,584482.74,7386394.7
PN-07,581186.96,7382873.56
PN-09,584649.77,7383143.48
LM-05,587871,7380354.33
LM-06,587617.9,7380701.41
LM-07,587037.92,7381462.41
LM-08,586927.53,7381248.93
LM-09,586497.44,7382058.63
LM-10,586329,7382107.55
LM-17,584938.59,7384094.26
MP-07A,590305.42,7376506.83
MP-07C-1,590302.11,7376494.41
MP-08A,591099.11,7380992.66
MP-08C,591088.43,7380990.07
MPS-AA,587360.98,7381053.33
MPS-AB,587360.42,7381055.94
MPS-AC,587361.34,7381052.48
MPS-CA,586725.45,7382312.99
MPS-CB,586723.16,7382312.29
MPS-CC,586726.44,7382313.36
PP-01,591348.31,7378506.54
PP-03,586802.95,7372719.02
BA-17,584997.3,7382542.15
BA-18,585778.44,7383610.2
BA-19,586321,7382592.43
BA-20,587246.73,7382249.86
BA-21,587158.53,7380905.47
BA-22,587836.81,7380816.97
BA-23,586684.5,7382108.47
BA-28,588525.35,7380523.1
BA-30,589239.27,7380003.38
E1,586496.46,7382071.14
E2,586495.38,7382088.23
E3,586476.44,7382107.22
E4,586458.86,7382109.86
Zanja Camino a Peine,588695.73,7383904.69